fundingRateTimestamp,,symbol,fundingRate
2024-01-06 16:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-06 16:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-07 00:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-07 00:00:00,BNBUSDT,BNBUSDT,-0.00090214
2024-01-07 00:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-07 00:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-07 00:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-07 00:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-07 00:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-07 00:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-07 08:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-07 08:00:00,BNBUSDT,BNBUSDT,-0.00081467
2024-01-07 08:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-07 08:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-07 08:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-07 08:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-07 08:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-07 08:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-07 16:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-07 16:00:00,BNBUSDT,BNBUSDT,-0.00058009
2024-01-07 16:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-07 16:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-07 16:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-07 16:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-07 16:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-07 16:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-08 00:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-08 00:00:00,BNBUSDT,BNBUSDT,-0.00066265
2024-01-08 00:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-08 00:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-08 00:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-08 00:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-08 00:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-08 00:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-08 08:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-08 08:00:00,BNBUSDT,BNBUSDT,-0.00058008
2024-01-08 08:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-08 08:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-08 08:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-08 08:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-08 08:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-08 08:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-08 16:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-08 16:00:00,BNBUSDT,BNBUSDT,-0.00016868
2024-01-08 16:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-08 16:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-08 16:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-08 16:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-08 16:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-08 16:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-09 00:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-09 00:00:00,BNBUSDT,BNBUSDT,-0.00016644
2024-01-09 00:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-09 00:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-09 00:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-09 00:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-09 00:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-09 00:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-09 08:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-09 08:00:00,BNBUSDT,BNBUSDT,0.0001
2024-01-09 08:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-09 08:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-09 08:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-09 08:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-09 08:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-09 08:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-09 16:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-09 16:00:00,BNBUSDT,BNBUSDT,0.0001
2024-01-09 16:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-09 16:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-09 16:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-09 16:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-09 16:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-09 16:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-10 00:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-10 00:00:00,BNBUSDT,BNBUSDT,0.0001
2024-01-10 00:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-10 00:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-10 00:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-10 00:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-10 00:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-10 00:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-10 08:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-10 08:00:00,BNBUSDT,BNBUSDT,0.0001
2024-01-10 08:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-10 08:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-10 08:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-10 08:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-10 08:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-10 08:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-10 16:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-10 16:00:00,BNBUSDT,BNBUSDT,0.0001
2024-01-10 16:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-10 16:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-10 16:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-10 16:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-10 16:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-10 16:00:00,XRPUSDT,XRPUSDT,0.0001
